simID,repeatID,weather_path,c.clone_ID,c.clone_of_cultivar,c.clone_size,c.clone_location_x,c.clone_location_y,c.clone_avg_beevisits_stem,c.clone_fruitset_mean,c.clone_fruitset_std,c.clone_fruitsetII_mean,c.clone_fruitsetII_std,c.clone_fruitmass_mean,c.clone_seeds_mean,c.clone_seeds_std,c.clone_healthy_berries,c.clone_malformed_berries,c.clone_percent_malformed_berries,c.clone_pollen_accepted,c.clone_pollen_received
10,1,../includes/Weather-Strawberry-Greenhouse.csv,StrawberryClone144,1,0.03121445152258042,5.9,1.1,4.333333333333333,1.0,0.0,1.0,0.0,5.420833333333334,71.33333333333333,48.4385827238607,12,12,1.0,0.0,0.0
10,1,../includes/Weather-Strawberry-Greenhouse.csv,StrawberryClone145,2,0.03121445152258042,5.9,1.2999999999999998,3.0,0.9166666666666666,0.15713484026367724,0.8888888888888888,0.15713484026367724,2.983333333333333,46.0,19.648767749507197,11,11,1.0,0.0,0.0
10,1,../includes/Weather-Strawberry-Greenhouse.csv,StrawberryClone146,1,0.03121445152258042,5.9,1.7000000000000002,4.666666666666667,1.0,0.0,1.0,0.0,6.083333333333335,89.5,42.63822836983871,12,12,1.0,0.0,0.0
10,1,../includes/Weather-Strawberry-Greenhouse.csv,StrawberryClone147,2,0.03121445152258042,5.9,1.9000000000000001,5.666666666666667,1.0,0.0,1.0,0.0,6.679166666666667,131.5,51.130732948510044,12,12,1.0,0.0,0.0
10,1,../includes/Weather-Strawberry-Greenhouse.csv,StrawberryClone148,1,0.03121445152258042,5.9,2.2999999999999994,5.666666666666667,1.0,0.0,1.0,0.0,7.033333333333332,113.94444444444444,41.49126042141917,12,12,1.0,0.0,0.0
10,1,../includes/Weather-Strawberry-Greenhouse.csv,StrawberryClone149,2,0.03121445152258042,5.9,2.5000000000000004,10.0,1.0,0.0,1.0,0.0,10.941666666666665,174.8888888888889,81.11095890396679,12,11,0.9166666666666666,0.0,0.0
10,1,../includes/Weather-Strawberry-Greenhouse.csv,StrawberryClone150,1,0.03121445152258042,5.9,2.9000000000000004,6.0,1.0,0.0,1.0,0.0,6.545833333333333,103.61111111111113,51.17007468442739,12,12,1.0,0.0,0.0
10,1,../includes/Weather-Strawberry-Greenhouse.csv,StrawberryClone151,2,0.03121445152258042,5.9,3.0999999999999996,6.666666666666667,0.75,0.4714045207910317,0.6666666666666666,0.4714045207910317,9.0875,142.0,102.97896225281485,9,9,1.0,0.0,0.0
10,1,../includes/Weather-Strawberry-Greenhouse.csv,StrawberryClone152,1,0.03121445152258042,5.9,3.5,7.0,1.0,0.0,1.0,0.0,8.674999999999999,144.1111111111111,27.222448978647414,12,12,1.0,0.0,0.0
10,1,../includes/Weather-Strawberry-Greenhouse.csv,StrawberryClone153,2,0.03121445152258042,5.9,3.7,5.0,1.0,0.0,1.0,0.0,6.25,106.38888888888887,16.66351822113724,12,12,1.0,0.0,0.0
10,1,../includes/Weather-Strawberry-Greenhouse.csv,StrawberryClone154,1,0.03121445152258042,5.9,4.1,6.0,1.0,0.0,1.0,0.0,7.191666666666666,108.72222222222223,43.139380765601004,12,12,1.0,0.0,0.0
10,1,../includes/Weather-Strawberry-Greenhouse.csv,StrawberryClone155,2,0.03121445152258042,5.9,4.299999999999999,8.333333333333334,1.0,0.0,1.0,0.0,8.9875,141.44444444444446,73.2728706974615,12,11,0.9166666666666666,0.0,0.0
10,1,../includes/Weather-Strawberry-Greenhouse.csv,StrawberryClone156,1,0.03121445152258042,5.9,4.7,2.6666666666666665,0.9166666666666666,0.15713484026367724,0.8888888888888888,0.15713484026367724,2.725,42.05555555555555,5.963365525863876,11,11,1.0,0.0,0.0
10,1,../includes/Weather-Strawberry-Greenhouse.csv,StrawberryClone157,2,0.03121445152258042,5.9,4.900000000000001,4.666666666666667,0.8333333333333334,0.3142696805273545,0.7777777777777777,0.3142696805273545,4.7625,94.1111111111111,60.22324722374939,10,9,0.9,0.0,0.0
10,1,../includes/Weather-Strawberry-Greenhouse.csv,StrawberryClone158,1,0.03121445152258042,5.9,5.3,2.3333333333333335,1.0,0.0,1.0,0.0,3.5208333333333335,48.77777777777778,6.087834458578991,12,12,1.0,0.0,0.0
10,1,../includes/Weather-Strawberry-Greenhouse.csv,StrawberryClone159,2,0.03121445152258042,5.9,5.5,5.333333333333333,0.75,0.4714045207910317,0.6666666666666666,0.4714045207910317,6.233333333333334,109.27777777777777,88.59670729327291,9,8,0.8888888888888888,0.0,0.0
10,1,../includes/Weather-Strawberry-Greenhouse.csv,StrawberryClone160,1,0.03121445152258042,5.9,5.899999999999999,4.0,1.0,0.0,1.0,0.0,5.295833333333333,74.05555555555556,36.30639504257692,12,12,1.0,0.0,0.0
10,1,../includes/Weather-Strawberry-Greenhouse.csv,StrawberryClone161,2,0.03121445152258042,5.9,6.1000000000000005,7.333333333333333,1.0,0.0,1.0,0.0,9.350000000000001,129.38888888888889,106.81815053608919,12,10,0.8333333333333334,0.0,0.0
10,1,../includes/Weather-Strawberry-Greenhouse.csv,StrawberryClone162,1,0.03121445152258042,5.9,6.499999999999999,2.3333333333333335,1.0,0.0,1.0,0.0,3.966666666666667,51.55555555555555,22.000561160071005,12,12,1.0,0.0,0.0
10,1,../includes/Weather-Strawberry-Greenhouse.csv,StrawberryClone163,2,0.03121445152258042,5.9,6.700000000000001,4.333333333333333,0.8333333333333334,0.15713484026367724,0.8888888888888888,0.15713484026367724,4.579166666666667,94.36111111111113,58.496293540913264,10,10,1.0,0.0,0.0
