simID,repeatID,planting_pattern,c.clone_ID,c.clone_of_cultivar,c.clone_size,c.clone_location_x,c.clone_location_y,c.clone_avg_beevisits_stem,c.clone_fruitset_mean,c.clone_fruitset_std,c.clone_fruitsetII_mean,c.clone_fruitsetII_std,c.clone_fruitmass_mean,c.clone_seeds_mean,c.clone_seeds_std,c.clone_healthy_berries,c.clone_malformed_berries,c.clone_percent_malformed_berries,c.clone_pollen_accepted,c.clone_pollen_received
1,5,1,StrawberryClone31,1,0.03121445152258042,4.900000000000002,3.0999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
1,5,1,StrawberryClone32,1,0.03121445152258042,4.900000000000002,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
1,5,1,StrawberryClone33,1,0.03121445152258042,4.900000000000002,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
1,5,1,StrawberryClone34,1,0.03121445152258042,4.900000000000002,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
1,5,1,StrawberryClone35,1,0.03121445152258042,4.900000000000002,4.299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
1,5,1,StrawberryClone36,2,0.03121445152258042,4.900000000000002,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
1,5,1,StrawberryClone37,2,0.03121445152258042,4.900000000000002,4.900000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
1,5,1,StrawberryClone38,2,0.03121445152258042,4.900000000000002,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
1,5,1,StrawberryClone39,2,0.03121445152258042,4.900000000000002,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
1,5,1,StrawberryClone40,2,0.03121445152258042,4.900000000000002,5.899999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
1,5,1,StrawberryClone41,2,0.03121445152258042,4.900000000000002,6.1000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
1,5,1,StrawberryClone42,2,0.03121445152258042,4.900000000000002,6.499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
1,5,1,StrawberryClone43,2,0.03121445152258042,4.900000000000002,6.700000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
1,5,1,StrawberryClone44,2,0.03121445152258042,4.900000000000002,7.1000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
1,5,1,StrawberryClone45,2,0.03121445152258042,4.900000000000002,7.300000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
1,5,1,StrawberryClone46,2,0.03121445152258042,4.900000000000002,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
1,5,1,StrawberryClone47,2,0.03121445152258042,4.900000000000002,7.899999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
