simID,repeatID,planting_pattern,f.Flower_ID,f.Flower_of_cultivar,f.Flower_in_clone_ID,f.Flower_in_inflorescence_ID,f.Flower_bloom_day,f.Flower_ripeness_day,f.Flower_fruit_mass,f.Flower_beery_malformed,f.Flower_bee_visit,f.Flower_bee_visit_day1,f.Flower_bee_visit_day2,f.Flower_bee_visit_day3,f.Flower_bee_visit_day4,f.Flower_bee_visit_day5,f.Flower_bee_visit_success,f.Flower_nb_pollen_selfcultivar,f.Flower_nb_pollen_othercultivar,f.Flower_nb_accepted_pollen
1,5,1,20,1,1,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,21,1,1,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,22,1,1,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,23,1,1,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,24,1,2,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,25,1,2,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,26,1,2,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,27,1,2,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,28,1,2,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,29,1,2,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,30,1,2,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,31,1,2,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,32,1,2,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,33,1,2,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,34,1,2,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,35,1,2,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,36,1,3,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,37,1,3,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,38,1,3,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,39,1,3,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,40,1,3,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,41,1,3,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,42,1,3,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,43,1,3,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,44,1,3,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,45,1,3,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,46,1,3,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,47,1,3,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,48,1,4,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,49,1,4,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,50,1,4,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,51,1,4,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,52,1,4,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,53,1,4,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,54,1,4,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,55,1,4,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,56,1,4,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
